18,17
18,18
18,19
10,16
10,17
10,18
2,10
10,19
2,11
2,16
2,17
2,18
2,19
19,16
19,17
19,18
11,10
19,19
11,11
11,16
11,17
3,9
11,18
3,10
11,19
3,11
3,16
3,17
3,18
3,19
12,9
12,10
12,11
12,16
4,8
12,17
4,9
12,18
4,10
12,19
4,11
4,12
4,13
4,14
4,15
4,16
4,17
4,18
4,19
13,8
13,9
13,10
13,11
13,12
13,13
13,14
13,15
13,16
13,17
5,9
13,18
5,10
13,19
5,11
5,16
5,17
5,18
5,19
14,9
14,10
14,11
14,16
14,17
14,18
6,10
14,19
6,11
6,16
6,17
6,18
6,19
15,10
15,11
15,16
15,17
15,18
15,19
7,16
7,17
7,18
7,19
16,16
16,17
16,18
16,19
8,16
8,17
8,18
8,19
0,16
17,1
0,17
17,2
0,18
0,19
17,16
17,17
17,18
17,19
9,16
9,17
9,18
9,19
1,16
18,1
1,17
18,2
1,18
1,19
18,16
