18,17
2,2
2,5
2,8
2,11
2,14
19,2
2,17
11,2
11,3
11,4
11,5
11,6
11,7
11,8
19,17
3,2
11,11
11,12
3,5
11,13
11,14
11,15
3,8
11,16
11,17
3,11
3,14
3,17
12,8
4,2
12,11
4,5
4,8
4,11
4,14
4,17
13,8
5,2
5,3
13,11
5,4
5,5
5,8
5,11
5,14
5,15
5,16
5,17
14,2
14,3
14,4
14,5
14,8
14,11
14,14
14,15
14,16
6,8
14,17
6,11
15,2
15,5
15,8
15,11
15,14
7,8
15,17
7,11
16,2
16,5
16,8
8,2
16,11
8,3
8,4
8,5
16,14
8,6
8,7
8,8
16,17
0,2
8,11
8,12
8,13
8,14
8,15
8,16
8,17
17,2
0,17
17,5
17,8
17,11
17,14
17,17
1,2
18,2
1,17
